;Unnamed: 0;data;codice_spira;00:00-01:00;01:00-02:00;02:00-03:00;03:00-04:00;04:00-05:00;05:00-06:00;06:00-07:00;07:00-08:00;08:00-09:00;09:00-10:00;10:00-11:00;11:00-12:00;12:00-13:00;13:00-14:00;14:00-15:00;15:00-16:00;16:00-17:00;17:00-18:00;18:00-19:00;19:00-20:00;20:00-21:00;21:00-22:00;22:00-23:00;23:00-24:00;id_uni;Livello;tipologia;codice;codice arco;codice via;Nome via;Nodo da;Nodo a;ordinanza;stato;codimpsem;direzione;angolo;longitudine;latitudine;geopoint;ID_univoco_stazione_spira;giorno settimana;edge_id
4;13;01/02/2024;0.127 2.10 8 1;10;3;2;1;2;8;35;178;196;124;139;82;109;102;124;99;142;103;126;115;68;36;42;22;166;1;spira;553;954;51000;VIA FRANCESCO RONCATI;6039;6028;4000/343434;A;338;E;287;113.282.993.665.462;444.937.079.783.006;44.4937079783006, 11.3282993665462;26;Giovedì;a117
6;16;01/02/2024;0.127 2.18 8 1;227;100;42;45;74;228;640;1917;1953;1782;1450;1384;1479;1493;1529;1557;1693;2055;2076;1878;1427;634;534;399;95;1;spira;75;2633;25430;VIALE M. KARAMCHAND GANDHI;8763;4568;4000/343434;A;25;E;250;113.086.826.273.458;444.990.522.268.361;44.4990522268361, 11.3086826273458;34;Giovedì;b2[1][1][1]b
9;21;01/02/2024;0.127 2.31 1 1;11;3;0;4;4;8;24;69;77;60;44;42;66;51;50;33;46;45;36;39;28;12;11;7;614;1;spira;948;2742;41430;LARGO BARTOLO NIGRISOLI;8761;15769;4000/343434;A;301;S;155;113.156.585.697.439;445.039.310.321.156;44.5039310321156, 11.3156585697439;54;Giovedì;b71
10;24;01/02/2024;0.127 2.33 10 1;151;72;38;35;27;59;149;492;587;473;411;426;422;417;436;471;553;591;603;550;368;262;266;298;945;2;spira;1044;7235;34000;VIA INNOCENZO MALVASIA;14721;8839;4000/343434;A;19;SO;158;113.216.426.062.022;445.012.616.462.669;44.5012616462669, 11.3216426062022;61;Giovedì;b53
68;131;01/02/2024;2.5 2.95 6 1;198;82;35;22;37;97;215;830;772;925;822;848;798;813;841;878;871;933;985;1038;835;383;365;395;19;1;spira;88;325;52950;VIA SARAGOZZA;4665;4651;4000/343434;A;337;O;90;113.258.609.026.138;444.903.451.512.572;44.4903451512572, 11.3258609026138;497;Giovedì;a60
71;137;01/02/2024;2.10 2.21 6 1;143;64;29;37;35;65;220;1135;1513;1145;885;867;839;965;1014;969;1009;1068;1071;998;639;388;304;277;14;1;spira;95;7563;61550;VIALE GIOVANNI VICINI;16678;16693;4000/343434;A;338;NO;10;113.283.987.885.526;44.494.907.669.431;44.494907669431, 11.3283987885526;401;Giovedì;a201
76;144;01/02/2024;2.19 2.19 7 1;68;16;4;3;12;55;213;777;762;656;444;459;487;529;535;539;601;781;811;690;493;223;169;116;789;1;spira;1133;4219;25430;VIALE M. KARAMCHAND GANDHI;16850;4568;4000/343434;A;399;;253;1.131.326.041.783;444.978.561.467.662;44.4978561467662, 11.31326041783;427;Giovedì;b2[1][0]
77;146;01/02/2024;2.21 2.10 6 1;187;91;45;29;49;115;414;1174;1360;1244;944;986;1041;1131;1072;1086;1209;1327;1389;1338;1062;546;438;410;354;1;spira;102;8751;61550;VIALE GIOVANNI VICINI;16682;16683;4000/343434;A;22;S;195;113.275.349.874.958;444.968.992.842.874;44.4968992842874, 11.3275349874958;442;Giovedì;a201
78;147;01/02/2024;2.21 2.35 8 1;277;128;58;62;82;176;526;2065;2625;2170;1662;1640;1555;1651;1819;1729;1939;1982;2066;1877;1373;746;598;545;353;1;spira;100;7573;61550;VIALE GIOVANNI VICINI;16680;15305;4000/343434;A;22;N;14;113.276.196.333.253;444.972.874.200.715;44.4972874200715, 11.3276196333253;443;Giovedì;a204a[0]
86;155;01/02/2024;2.30 2.30 6 1;125;53;34;40;52;125;523;967;966;949;825;772;704;776;410;850;1039;1120;957;806;635;312;279;245;296;1;spira;36;5425;45190;VIALE SANDRO PERTINI;13354;13344;4000/343434;A;16;N;340;113.092.167.352.814;445.053.085.046.798;44.5053085046798, 11.3092167352814;469;Giovedì;b4[1][1][0]
87;156;01/02/2024;2.31 2.30 4 1;226;114;48;48;52;91;208;710;894;858;766;827;803;829;945;840;961;809;841;849;571;366;386;381;293;1;spira;33;2681;21400;VIA EMILIA PONENTE;8776;8780;4000/343434;A;300;O;66;113.133.986.552.922;445.041.992.237.176;44.5041992237176, 11.3133986552922;472;Giovedì;b76
88;157;01/02/2024;2.33 0.127 6 1;61;16;6;6;8;31;129;494;627;401;295;269;291;267;297;305;333;387;387;337;228;141;116;102;194;1;spira;587;7235;34000;VIA INNOCENZO MALVASIA;8839;14721;4000/343434;A;19;N;338;113.218.017.649.932;445.013.661.662.167;44.5013661662167, 11.3218017649932;477;Giovedì;b53
89;159;01/02/2024;2.34 2.33 4 1;212;80;37;39;31;78;192;666;761;698;543;621;522;638;706;702;838;808;812;738;478;316;289;290;196;1;spira;589;4572;52400;VIA AURELIO SAFFI;8838;8845;4000/343434;A;20;O;66;113.239.415.903.186;445.004.735.823.277;44.5004735823277, 11.3239415903186;480;Giovedì;b12
90;161;01/02/2024;2.35 2.38 8 1;78;42;21;26;34;65;174;716;910;777;551;591;552;515;606;586;661;647;697;607;502;247;194;157;283;1;spira;23;8785;54950;VIALE ANTONIO SILVANI;16696;16702;4000/343434;A;21;NE;296;113.275.922.602.577;444.996.245.123.973;44.4996245123973, 11.3275922602577;485;Giovedì;a204[1][1]
93;165;01/02/2024;2.38 2.35 4 1;263;115;59;47;48;105;220;796;887;804;764;859;885;896;840;905;1062;1023;1084;1021;811;512;440;443;73;1;spira;327;2973;54950;VIALE ANTONIO SILVANI;10159;15234;4000/343434;A;151;SO;125;113.294.927.544.257;445.007.251.431.592;44.5007251431592, 11.3294927544257;490;Giovedì;a203[0]
94;166;01/02/2024;2.38 3.7 8 1;122;66;29;36;54;84;264;997;1249;948;716;757;710;700;816;778;857;884;888;765;672;338;269;247;72;1;spira;326;8781;54950;VIALE ANTONIO SILVANI;16695;16698;4000/343434;A;151;NE;307;11.330.518.010.785;445.010.668.033.697;44.5010668033697, 11.330518010785;491;Giovedì;a204[1][1]
209;312;02/02/2024;0.127 2.10 8 1;19;2;7;2;1;10;28;168;183;125;101;89;103;107;90;102;103;111;120;151;95;55;41;43;166;1;spira;553;954;51000;VIA FRANCESCO RONCATI;6039;6028;4000/343434;A;338;E;287;113.282.993.665.462;444.937.079.783.006;44.4937079783006, 11.3282993665462;26;Venerdì;a117
210;313;02/02/2024;0.127 2.10 10 1;29;14;7;5;8;7;24;222;297;212;179;190;193;217;227;221;266;294;262;220;148;53;41;67;917;2;spira;1097;8745;44950;VIALE CARLO PEPOLI;16675;16677;4000/343434;A;338;;14;113.287.720.902.502;444.937.218.654.403;44.4937218654403, 11.3287720902502;27;Venerdì;a43[0]
211;314;02/02/2024;0.127 2.18 8 1;224;90;54;45;73;212;719;1945;2025;1685;1501;1497;1552;1593;1649;1667;1899;2087;2088;1896;1463;840;727;589;95;1;spira;75;2633;25430;VIALE M. KARAMCHAND GANDHI;8763;4568;4000/343434;A;25;E;250;113.086.826.273.458;444.990.522.268.361;44.4990522268361, 11.3086826273458;34;Venerdì;b2[1][1][1]b
