;Unnamed: 0;Nome via;geopoint;edge_id
0;4;VIA FRANCESCO RONCATI;44.4937079783006, 11.3282993665462;a117
1;6;VIALE M. KARAMCHAND GANDHI;44.4990522268361, 11.3086826273458;b2[1][1][1]b
2;9;LARGO BARTOLO NIGRISOLI;44.5039310321156, 11.3156585697439;b71
3;10;VIA INNOCENZO MALVASIA;44.5012616462669, 11.3216426062022;b53
4;68;VIA SARAGOZZA;44.4903451512572, 11.3258609026138;a60
5;71;VIALE GIOVANNI VICINI;44.494907669431, 11.3283987885526;a201
6;76;VIALE M. KARAMCHAND GANDHI;44.4978561467662, 11.31326041783;b2[1][0]
7;77;VIALE GIOVANNI VICINI;44.4968992842874, 11.3275349874958;a201
8;78;VIALE GIOVANNI VICINI;44.4972874200715, 11.3276196333253;a204a[0]
9;86;VIALE SANDRO PERTINI;44.5053085046798, 11.3092167352814;b4[1][1][0]
10;87;VIA EMILIA PONENTE;44.5041992237176, 11.3133986552922;b76
11;88;VIA INNOCENZO MALVASIA;44.5013661662167, 11.3218017649932;b53
12;89;VIA AURELIO SAFFI;44.5004735823277, 11.3239415903186;b12
13;90;VIALE ANTONIO SILVANI;44.4996245123973, 11.3275922602577;a204[1][1]
14;93;VIALE ANTONIO SILVANI;44.5007251431592, 11.3294927544257;a203[0]
15;94;VIALE ANTONIO SILVANI;44.5010668033697, 11.330518010785;a204[1][1]
16;210;VIALE CARLO PEPOLI;44.4937218654403, 11.3287720902502;a43[0]
17;216;VIA CIMABUE;44.5033998910462, 11.314438289839;b31
18;271;VIA S.FELICE;44.4980414260355, 11.3307270636654;a55
19;282;PIAZZA DI PORTA S.ISAIA;44.494620361561, 11.328674717615;a134
20;284;VIALE M. KARAMCHAND GANDHI;44.4985943485971, 11.3103750297562;b2[1][0]
21;285;VIA MARZABOTTO;44.499278975506, 11.3101650805774;b23
22;286;VIA DEL TIMAVO;44.4977904881531, 11.3163420592928;b38[0]
23;294;VIA PASUBIO;44.4989091324745, 11.316433339438;b37
24;364;VIALE ANTONIO ALDINI;44.49047298, 11.32963801;a210
25;366;VIALE M. KARAMCHAND GANDHI;44.4988573896583, 11.3094985934965;b20+19a
26;367;VIA TOLMINO;44.4974672343601, 11.3160312523868;b38[0]
27;370;VIA PRATI DI CAPRARA;44.5059291474411, 11.3094463610492;b4[1][1][1]
28;371;LARGO BARTOLO NIGRISOLI;44.5039426162009, 11.3156346572437;b70
29;436;VIA ANDREA COSTA;44.4953074040538, 11.3198132852758;a20001+87[1][0]
30;437;VIA DELLA CROCETTA;44.4953746950273, 11.3184727885428;a191
31;442;VIA MONTEFIORINO;44.4973287210753, 11.3159062928132;a67
32;443;VIA TOLMINO;44.4975833129702, 11.3156919816636;b2[0]
33;444;VIALE M. KARAMCHAND GANDHI;44.4978131399409, 11.3132403786183;b2[1][0]
34;446;VIA PRATI DI CAPRARA;44.5058710102678, 11.3095630279905;b4[1][1][1]
35;447;VIA VITTORIO VENETO;44.5010742719742, 11.3215190419811;b55
